Year,State,Adoption Total,Returned To Owner Total,Returned To Field Total,Transferred Out Total,Other Live Outcome Total,Others,Animal Type
2021,Missouri,14735,1667,1129,1236,3246,1925,Feline
2022,Missouri,14152,1644,621,1181,3923,1744,Feline
2019,Mississippi,4546,80,32,690,264,1230,Feline
2020,Mississippi,3828,48,43,781,113,766,Feline
2021,Mississippi,4224,111,127,849,121,873,Feline
2022,Mississippi,4092,77,165,701,68,797,Feline
2019,Montana,5367,479,204,73,101,639,Feline
2020,Montana,4906,445,169,40,139,409,Feline
2021,Montana,5204,431,97,64,612,365,Feline
2022,Montana,6014,448,17,55,990,501,Feline
2019,North Carolina,21969,782,609,6237,1716,11913,Feline
2020,North Carolina,20615,539,629,4828,1084,5683,Feline
2021,North Carolina,21804,636,442,3654,1125,6988,Feline
2022,North Carolina,22984,572,145,3313,821,5882,Feline
2019,North Dakota,2645,110,3,98,19,117,Feline
2020,North Dakota,2383,155,9,8,3,117,Feline
2021,North Dakota,2260,223,1,9,17,107,Feline
2022,North Dakota,2816,171,3,13,22,104,Feline
2019,Nebraska,3702,355,4,148,0,2044,Feline
2020,Nebraska,3609,273,0,125,0,1175,Feline
2021,Nebraska,3583,242,42,34,0,757,Feline
2022,Nebraska,3751,282,32,45,0,768,Feline
2019,New Hampshire,3543,211,12,55,4,206,Feline
2020,New Hampshire,3141,139,3,23,4,131,Feline
2021,New Hampshire,3478,168,5,12,1,179,Feline
2022,New Hampshire,2980,180,0,11,5,143,Feline
2019,New Jersey,10329,497,387,3881,12,2241,Feline
2020,New Jersey,12376,453,575,2613,117,1571,Feline
2021,New Jersey,11582,317,541,2278,0,1408,Feline
2022,New Jersey,11480,325,402,2016,38,1654,Feline
2019,New Mexico,5222,314,1311,2395,1104,4500,Feline
2020,New Mexico,4677,254,816,1984,665,2542,Feline
2021,New Mexico,4404,390,1408,1643,615,1997,Feline
2022,New Mexico,4671,221,1636,1644,828,2060,Feline
2019,Nevada,8450,392,1689,1062,16,2174,Feline
2020,Nevada,8118,316,999,598,26,1737,Feline
2021,Nevada,7004,318,1089,744,6,1817,Feline
2022,Nevada,9473,366,1702,762,7,2159,Feline
2019,New York,31906,1019,1188,8339,538,5394,Feline
2020,New York,26799,699,1152,4797,235,3860,Feline
2021,New York,26985,876,1157,4200,137,3506,Feline
2022,New York,27876,1005,1336,3882,171,3605,Feline
2019,Ohio,17271,177,1061,493,359,2035,Feline
2020,Ohio,16695,173,416,541,614,1283,Feline
2021,Ohio,16835,211,534,446,442,1420,Feline
2022,Ohio,19914,288,258,481,262,1471,Feline
2019,Oklahoma,3779,75,2127,678,434,890,Feline
2020,Oklahoma,4152,58,1580,532,353,487,Feline
2021,Oklahoma,4824,55,684,550,283,598,Feline
2022,Oklahoma,4631,63,70,427,485,512,Feline
2019,Oregon,17085,491,980,1552,59,1709,Feline
2020,Oregon,13768,436,438,1231,24,1324,Feline
2021,Oregon,12888,399,594,663,96,1239,Feline
2022,Oregon,14068,482,345,854,84,1206,Feline
2019,Pennsylvania,17436,279,279,504,25,2722,Feline
2020,Pennsylvania,15239,281,181,467,34,1719,Feline
2021,Pennsylvania,13205,265,195,328,25,1887,Feline
2022,Pennsylvania,13841,274,415,740,26,1712,Feline
2019,Rhode Island,2051,130,45,220,1,198,Feline
2020,Rhode Island,1754,178,38,241,1,155,Feline
2021,Rhode Island,2103,112,83,257,94,143,Feline
2022,Rhode Island,2533,111,29,274,113,128,Feline
2019,South Carolina,10826,312,2589,2633,6,4448,Feline
2020,South Carolina,9379,393,1092,3337,1877,3495,Feline
2021,South Carolina,10569,398,1636,3422,43,3768,Feline
2022,South Carolina,10614,384,2692,2356,35,2537,Feline
2019,South Dakota,379,7,0,172,0,34,Feline
2020,South Dakota,414,10,0,154,0,18,Feline
2021,South Dakota,442,18,22,334,4,40,Feline
2022,South Dakota,485,14,49,455,27,47,Feline
2019,Tennessee,13922,601,2785,1967,2753,3413,Feline
2020,Tennessee,11981,701,2426,1372,2276,2304,Feline
2021,Tennessee,13162,1125,2057,1190,1506,2356,Feline
2022,Tennessee,12248,1282,1520,1209,1141,2544,Feline
2019,Texas,53754,2945,23425,21675,3460,19835,Feline
2020,Texas,48701,1970,14135,27303,1527,9373,Feline
2021,Texas,51324,2329,11935,21312,3396,11673,Feline
2022,Texas,49173,2243,7614,18248,2523,9931,Feline
2019,Utah,12002,828,1966,4575,1911,2696,Feline
2020,Utah,12235,530,1714,5252,577,1823,Feline
2021,Utah,12236,679,2303,4706,571,2030,Feline
2022,Utah,16311,663,1907,4065,859,2502,Feline
2019,Virginia,13174,524,393,1723,61,2129,Feline
2020,Virginia,13996,493,517,1958,2,1312,Feline
2021,Virginia,13043,536,308,2222,3,1540,Feline
2022,Virginia,13322,422,433,2194,5,1733,Feline
2019,Vermont,2561,76,0,118,0,256,Feline
2020,Vermont,2244,69,0,53,0,201,Feline
2021,Vermont,2428,76,1,8,1,294,Feline
2022,Vermont,2354,56,6,10,5,136,Feline
2019,Washington,38880,1761,651,5486,250,5209,Feline
2020,Washington,31089,1431,592,4324,227,3552,Feline
2021,Washington,33918,1596,772,4115,442,3931,Feline
2022,Washington,36810,1739,1307,4055,884,4415,Feline
2019,Wisconsin,16604,1282,593,1930,141,3483,Feline
2020,Wisconsin,18400,1210,706,1267,191,2685,Feline
2021,Wisconsin,17744,1217,1169,1356,248,2696,Feline
2022,Wisconsin,17804,1256,1210,1508,413,2584,Feline
2019,West Virginia,2882,60,4,1222,1,1411,Feline
2020,West Virginia,2798,84,8,1887,0,568,Feline
2021,West Virginia,3154,90,14,2017,0,495,Feline
2022,West Virginia,2888,32,4,1421,2,648,Feline
2019,Wyoming,2499,196,70,241,724,624,Feline
2020,Wyoming,2184,155,72,187,745,290,Feline
2021,Wyoming,2362,175,17,118,605,246,Feline
2022,Wyoming,2299,186,43,92,130,214,Feline
2019,All,625848,227353,1324,200802,16828,414162,Canine
2020,All,481131,163225,632,173057,14065,233280,Canine
2021,All,485996,174155,281,149171,15795,248162,Canine
2022,All,505429,172261,479,134119,16005,237438,Canine
2019,Alaska,170,169,0,411,0,124,Canine
2020,Alaska,87,90,0,511,27,108,Canine
2021,Alaska,75,117,0,559,7,96,Canine
2022,Alaska,95,116,0,544,14,66,Canine
2019,Alabama,4096,1460,15,2132,0,3814,Canine
2020,Alabama,3970,1238,16,3207,1,2786,Canine
2021,Alabama,3864,1441,0,2915,86,3684,Canine
2022,Alabama,3954,1344,0,2726,0,3112,Canine
2019,Arkansas,3575,3364,0,1755,471,976,Canine
2020,Arkansas,2965,1477,0,1562,305,696,Canine
2021,Arkansas,3261,1460,4,1555,266,626,Canine
2022,Arkansas,3410,1615,8,1644,7,548,Canine
2019,Arizona,38927,11743,578,8210,251,10952,Canine
2020,Arizona,30289,7460,0,6067,530,8596,Canine
2021,Arizona,31714,8917,0,5195,580,9156,Canine
2022,Arizona,34116,7685,2,4020,173,9168,Canine
2019,California,88875,42096,134,28234,2083,95952,Canine
2020,California,57461,27328,230,20411,1290,38962,Canine
2021,California,57845,29379,81,17255,1719,38830,Canine
2022,California,67262,28588,82,19505,3039,45220,Canine
2019,Colorado,20508,11764,340,2160,247,9094,Canine
2020,Colorado,17992,9224,237,1742,229,6470,Canine
2021,Colorado,18426,10549,3,1529,152,8418,Canine
2022,Colorado,17943,10754,0,1582,141,8680,Canine
2019,Connecticut,1873,189,0,237,38,776,Canine
2020,Connecticut,1292,178,0,147,37,932,Canine
2021,Connecticut,988,189,0,137,45,898,Canine
